global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	aroma_motion_02	aroma_motion_03	aroma_motion_04	aroma_motion_06	aroma_motion_07	aroma_motion_08	aroma_motion_09	aroma_motion_11	aroma_motion_12	aroma_motion_13	aroma_motion_14	aroma_motion_15	aroma_motion_17	aroma_motion_19	aroma_motion_21	aroma_motion_22	aroma_motion_23	aroma_motion_25	aroma_motion_28	aroma_motion_29	aroma_motion_30	aroma_motion_38	aroma_motion_39	aroma_motion_41	aroma_motion_42	aroma_motion_44	aroma_motion_45	aroma_motion_46	aroma_motion_47	aroma_motion_51	aroma_motion_53	aroma_motion_55	aroma_motion_56	aroma_motion_59	aroma_motion_64	aroma_motion_65	aroma_motion_67
10122.447156979762	n/a	n/a	102463936.44584768	7141.466577950778	n/a	n/a	51000544.88398799	8296.741074491882	n/a	68835912.45716071	n/a	8206.984278107775	11680.57720756166	n/a	n/a	n/a	n/a	-0.0389659943	0.0060538401	-0.0255242718	0.0153501479	0.050418583200000006	-0.05336844599999999	-0.045211464800000004	-0.013120186899999999	-0.020895788000000002	-0.0257400504	0.0265515307	-0.0157325706	0.0090133977	-0.0271448163	0.019367966299999997	-0.032326254	0.0246449314	-0.0241318464	0.049704096600000004	-0.025602027599999997	0.0268144388	-0.0157747551	0.0320719238	-0.0158148197	0.0020540966000000003	-0.032946485899999996	-0.0263208515	0.0208179199	-0.04330709519999999	0.06441532059999999	0.0644142944	0.0644125841	0.0644101897	0.0644071112	0.0644033487	-0.00270661	n/a	7.3257376921e-06	n/a	0.0995707	n/a	n/a	0.009914324298489999	-0.12033900000000003	n/a	0.014481474921000003	n/a	0.00197436	n/a	3.8980974096e-06	n/a	-0.00307833	n/a	n/a	9.476115588900004e-06	0.00140006	n/a	n/a	1.9601680036e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.053361691	-1.153667257	0.7792703654	0.1981946707	0.5001927838	0.8691465317	0.3660381697	1.036017827	1.62118388	0.8444315437	-0.2403445311	0.8004549834	0.9999855036	0.5213184858	1.474233709	-0.1915021227	0.1165652295	-0.6942906702	0.329165308	-0.6940807163	1.0908393	0.7970491785	-0.1743010419	-0.4737230207	0.7843574439	0.3545222272	0.1935017944	-0.4320372195	-0.3440080305	0.4072221641	1.740380142	-0.7249067607	0.04048325105	-0.3903916683	-0.9864421709	0.4016310057	-0.4315167609
10099.987754915312	-22.459402064450842	504.4247410926588	102009752.64943925	7104.58623207343	-36.88034587734728	1360.1599120327667	50475145.52896734	8296.456369626509	-0.2847048653729871	68831188.29311627	0.08105686036705073	8205.387783175342	11605.139825928509	1.330472	34.483372	0.04857158000000001	0.029703	-0.036961143700000004	0.0157470685	-0.0224472184	0.0256510711	0.0820936096	-0.0388923037	-0.0008488660000000001	0.0158765793	-0.011316554	-0.0241516241	0.0299409006	-0.08196034519999999	-0.0165017595	-0.024255421800000003	0.006298999699999999	-0.0543799279	0.0310495929	-0.0306613589	0.022170959100000002	-0.023761513300000002	0.0305633411	-0.0842589388	0.0182000011	0.0015666844	-0.0009254017	-0.0518230576	-0.032035786000000004	0.0271366149	-0.0228368867	0.0644125841	0.0644033487	0.0643879575	0.0643664117	0.0643387136	0.0643048657	-0.00209063	0.0006159799999999999	4.3707337969e-06	3.794313603999999e-07	0.07467859999999997	-0.024892100000000028	0.0006196166424100014	0.005576893297959996	-0.120311	2.8000000000028002e-05	0.014474736720999996	7.840000000015682e-10	0.00176365	-0.00021071	3.110461322500001e-06	4.4398704100000006e-08	-0.00282833	0.0002500000000000002	6.250000000000013e-08	7.9994505889e-06	0.00140006	0.0	0.0	1.9601680036e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.067465628	-0.9095997599	0.6818478155	0.6051262804	0.7480828359	0.8035242638	0.08617337903	0.9175193756	0.6952492099	0.6540142471	-0.3758143751	0.4296437129	1.059899731	0.7861816982	1.084353455	-0.1276540855	0.8215218413	-0.8815640056	-0.747985205	-0.8444270772	0.891285344	-1.344787779	-0.2754979302	-1.221338662	0.8765217228	-0.6801748591	-0.9049294186	-0.7014791905	-0.7144783063	0.6843011303	0.1205737977	0.225244611	-1.01422635	-0.6148161383	-1.126703983	1.317106543	-1.258276817
10073.47042641813	-26.51732849718246	703.1687106274852	101474806.43192063	7167.0013616857395	62.4151296123091	3895.648404521345	51365908.51840525	8296.127001641658	-0.32936798485025065	68825723.22736782	0.10848326944431494	8206.853973692545	11632.18128332718	1.0814979999999998	28.030437	0.23053042420000006	0.14109100000000002	-0.0401396486	0.025600198900000003	-0.0390432896	0.0308238086	0.08837610060000001	0.026758731600000002	0.039893020099999996	0.0523667397	-0.010540401699999999	-0.025088912	0.0330423763	-0.0538288337	-0.011017281299999999	0.0158770751	-0.026618282599999998	-0.042940909299999996	-0.0014945197	-0.0329082877	0.0191655503	-0.0246538014	0.0347271173	-0.06107749570000001	-0.0371207612	0.0087644637	-0.012322921799999999	-0.0383976478	0.0008053722	0.0312061721	-0.0172946926	0.0644071112	0.0643814593	0.0643387136	0.0642788855	0.064201991	0.0641080503	6.95942e-05	0.0021602242	4.84335267364e-09	4.66656859426564e-06	0.185109	0.11043040000000004	0.012194873244160005	0.034265341881	-0.08095489999999997	0.03935610000000002	0.006553695834009996	0.0015489026072100015	0.000441976	-0.001321674	1.95342784576e-07	1.7468221622760003e-06	-0.00307833	-0.0002500000000000002	6.250000000000013e-08	9.476115588900004e-06	0.00140006	0.0	0.0	1.9601680036e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8718537206	-0.9487472458	0.4425215276	0.7103623062	0.6259981503	0.6986472644	0.3480694404	0.9218749642	1.157614832	0.4431904586	-0.126418556	0.6011168289	0.8736665855	0.6394549838	1.189658938	0.1752105587	-0.09894872773	-0.7421455041	-0.231080202	-1.0214422	0.7994985687	-1.512015354	1.408663609	-1.009531997	0.9769613212	-0.315339478	-1.129481997	-0.1985700522	-0.4256052401	0.2898544234	0.2664228293	-0.6775064636	-0.9872725537	0.9444809706	-0.01251218447	1.386470322	-0.882849954
10062.579432907514	-10.890993510614862	118.61373964825505	101255504.84357332	7106.943071678771	-60.05829000696849	3606.998198561131	50508639.82408289	8295.796648948302	-0.3303526933559624	68820242.04070188	0.10913290200753853	8204.669693709437	11551.219215852581	0.996144	25.818207	0.2153569742	0.140928	-0.035406892599999996	0.0146928471	-0.030422431099999998	0.0248768858	0.0183812084	0.031188661099999997	-0.0338437475	0.0478972146	-0.0148035253	-0.025470427900000002	0.016455698799999998	0.0334758402	0.0151859583	0.0317372568	-0.0173766337	-0.0364379605	0.035743665	-0.0098554652	0.0707338129	-0.0254272062	0.015357210500000001	0.0358036417	-0.0346683049	-0.0087396424	-0.0014453382	-0.0347948898	-0.0350568892	0.009652236600000001	-0.0573380887	0.0643989022	0.0643486298	0.06426487139999999	0.0641476706	0.0639970885	0.0638132035	-0.00304188	-0.0031114742	9.2530339344e-06	9.68127169726564e-06	0.05952680000000001	-0.12558219999999998	0.01577088895683999	0.0035434399182400008	-0.103613	-0.022658100000000042	0.010735653769000002	0.0005133894956100019	0.00144369	0.001001714	2.0842408161000004e-06	1.0034309377960002e-06	-0.00301757	6.0760000000000414e-05	3.691777600000049e-09	9.1057287049e-06	0.00161769	0.0002176299999999999	4.7362816899999955e-08	2.6169209361e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9561554488	-1.032904026	0.4662615291	0.7918171926	0.7238513761	0.7681425037	0.3155899171	0.9065438958	0.6697671696	0.3688480517	-0.4456418329	0.4639602425	0.725037339	0.4202357707	1.019614048	-0.0475751976	0.3255994676	-0.8960047502	-0.1948213839	-1.058146046	0.5280531551	0.7905048512	1.295905134	-1.267518264	-0.4341684889	-0.7532953421	-1.22944884	-0.3046530778	-0.4677983801	0.2905062832	0.218419773	0.4650236907	-1.058849371	0.2833513567	0.7701075158	1.176213701	1.120913176
10072.06147441441	9.482041506895255	89.90911113848448	101446422.34438296	7014.00741476856	-92.93565691021105	8637.036325332456	49196300.01442834	8293.266723153636	-2.529925794666269	68778272.94136745	6.400524526517754	8201.330441731308	11383.0191925078	0.967185	25.067659	0.059616144599999976	0.0322188	-0.0345201835	0.019087826699999998	-0.019878119099999998	0.031646597	-0.006795635	-0.05508398849999999	-0.0415524639	0.0226868654	-0.0065113362	-0.0256928396	0.0186957744	0.0058126541	0.0169813254	-0.050991321500000006	0.0532748803	-0.0300831083	0.027231899500000004	-0.0284265776	0.054048509	-0.0255787037	0.0183727705	0.0085869006	0.06711304280000001	-0.023856995899999997	0.0134884578	-0.0352292725	-0.0289764097	0.0165309108	-0.0622075194	0.0643879575	0.0643048657	0.06416645900000001	0.0639728562	0.0637242239	0.0634207761	6.22646e-05	0.0031041446000000003	3.87688041316e-09	9.63571369770916e-06	0.0508848	-0.008642000000000004	7.468416400000007e-05	0.0025892628710400003	-0.103921	-0.00030799999999998884	0.010799574240999999	9.486399999999313e-08	0.00184426	0.00040056999999999983	3.401294947599999e-06	1.6045632489999988e-07	-0.00258237	0.0004351999999999997	1.8939903999999976e-07	6.668634816900001e-06	0.00150222	-0.0001154699999999999	1.3333320899999976e-08	2.2566649284e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9917023398	-1.057765494	0.4090786628	0.3607653997	0.5886733092	0.6441123052	0.1564650396	0.9894059211	1.022153835	0.3403624895	-0.5746739505	0.6235600599	0.7625238861	0.942534649	0.5763059705	-0.3634389707	0.2171319939	-0.9106923797	0.04603016132	-1.076324532	0.5675948589	1.111777867	-1.026037703	-0.9642089191	0.1982546653	-0.9389617347	-0.8345724287	-0.435841147	-0.7032624006	0.5722915343	0.4097932128	-0.7449779025	-1.511564514	-1.761148015	0.6204149831	-0.4873173806	1.057997915
10082.296805953349	10.235331538939135	104.76201171200218	101652708.8833371	7010.150083443368	-3.8573313251918084	14.879004952305989	49142204.19240106	8286.363427758333	-6.903295395302847	68663818.85689083	47.655487314809506	8194.118706404286	11547.71050516278	0.8794219999999999	22.793005	0.2269926974	0.13943	-0.0376105665	0.018200235500000002	-0.034494279700000005	0.0326184604	-0.0009595844999999999	-0.10420096279999999	-0.0326561658	0.0477046697	-0.011742166799999999	-0.0298285096	0.0110662839	-0.0201351419	0.0024719256	-0.0586296796	0.053753276600000004	-0.0253369954	0.017474988400000002	-0.0402455455	0.02844022	-0.0294779615	0.0107048524	-0.0197935951	0.0804069079	-0.013804476000000001	0.015337733000000001	-0.0294882923	-0.0195496823	0.0315146315	-0.0451560055	0.0643742773	0.0642501747	0.06404351400000001	0.063754561	0.06338368679999999	0.0629313682	0.000180162	0.0001178974	3.2458346244000006e-08	1.3899796926760003e-08	0.14543699999999998	0.09455219999999998	0.008940118524839995	0.021151920969	-0.07249889999999999	0.031422100000000015	0.0052560905012099994	0.0009873483684100003	0.00011382	-0.00173044	1.2954992400000002e-08	2.9944225936e-06	-0.00275788	-0.00017550999999999984	3.0803760099999934e-08	7.605902094399998e-06	0.00161428	0.00011205999999999998	1.2557443599999995e-08	2.6058999184e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8936792774	-0.9469163736	0.3796797397	0.5912530551	0.7823065507	0.7095558124	0.2541580513	0.9510527637	0.9345255144	0.2546298742	-0.4709509195	0.5821982171	0.7936245494	0.6814292442	0.7870885955	0.3012950396	0.2822769203	-0.8340544989	-0.1361508091	-1.284784113	0.5790705532	0.4002597467	-1.733388416	-0.9810029889	1.043217786	-0.4738804864	-1.441277162	-0.2893110129	-0.9219651338	0.3291840509	0.4447228293	0.1761828933	-0.7829799952	-0.6867061458	0.9848149546	0.08656994957	0.9490108992
10066.69607606073	-15.600729892617894	243.38277318242146	101338369.88777652	7139.7611559657435	129.61107252237525	16799.030120400414	50976189.36423729	8290.407880159777	4.0444524014437775	68730862.81941533	16.357595227544337	8199.21008804343	11541.369305802122	0.8639120000000001	22.391008	0.13097049000000002	0.07559699999999997	-0.0375024449	0.0206241887	-0.0327303662	0.028963480099999998	0.0758899749	-0.0887726527	0.0227293669	0.0355944978	0.0295683986	-0.0291543259	0.0339745405	-0.0582989417	-0.0239156058	-0.0385929128	0.0183859079	-0.0435848509	0.0169793317	-0.029460442200000006	0.0160101026	-0.0290602408	0.034140619	-0.065818975	0.0394693668	0.0098208271	0.0018411592	-0.0424052782	-0.0187627535	0.0257200383	-0.0194020972	0.0643578625	0.0641845658	0.06389608349999999	0.06349293339999999	0.062975839	0.0623457281	0.000157272	-2.289000000000002e-05	2.4734481984e-08	5.239521000000008e-10	0.0936159	-0.05182109999999998	0.0026854264052099982	0.00876393673281	-0.103171	-0.030672100000000008	0.010644255241000001	0.0009407777184100004	0.000859968	0.0007461480000000001	7.395449610240002e-07	5.567368379039999e-07	-0.00258238	0.00017549999999999987	3.080024999999996e-08	6.6686864644e-06	0.0015668399999999995	-4.744000000000059e-05	2.250553600000056e-09	2.4549875855999983e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8382326846	-0.9117003723	0.3127301869	0.7780511826	0.6562767574	0.6730113448	0.2950118219	0.8819743939	0.8414366128	0.2576168214	-0.2497914887	0.5591048809	0.7332400618	0.8876713643	0.8656692583	-0.1894158658	0.1762927066	-0.8654771454	-0.1726065781	-1.35791922	0.7994903778	-0.1028502815	-0.3429495225	-1.172334331	1.999755422	-0.655586351	-1.014188358	-0.2339073138	-0.7902436489	0.2698272477	-0.8482125896	-0.6983954122	-1.550780034	-0.303256242	-0.5465209304	0.5453600812	-0.1644480132
10075.511387325987	8.815311265256243	77.7097127033536	101515929.71613564	7093.635771988703	-46.125383977040656	2127.551047029439	50319668.46563776	8292.408999516989	2.001119357211792	68764047.01527035	4.004478681807735	8201.731256390025	11448.232245640364	0.990393	25.669167	0.08377957199999997	0.0457805	-0.0312969526	0.0080633001	-0.018756933	0.0209006142	0.073445972	0.015771413	0.0415274298	0.044510868200000005	0.0149004683	-0.0266074556	0.0248116711	-0.0659636751	-0.0159609437	0.0064914737	-0.0284366945	-0.0527631668	0.0360008384	-0.0046754310999999995	0.0166564924	-0.026143309700000002	0.0262625824	-0.0688227294	-0.0294805083	0.0091827977	-0.0161281688	-0.0487412	-0.0371253582	0.0041267754	-0.0044994849	0.0643387136	0.0641080503	0.0637242239	0.0631881514	0.0625011134	0.06166475160000001	-0.016557299999999997	-0.016714571999999997	0.0002741441832899999	0.0002793769171431839	0.0631255	-0.0304904	0.0009296644921599999	0.00398482875025	-0.0990115	0.0041594999999999965	0.00980327713225	1.7301440249999968e-05	0.00143267	0.000572702	2.0525433289e-06	3.2798758080400004e-07	-0.00258238	0.0	0.0	6.6686864644e-06	0.00164244	7.560000000000054e-05	5.715360000000081e-09	2.6976091536e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.062761463	-1.099514966	0.3582818062	0.5212363564	0.5450450147	0.6690413749	0.2360574643	0.9428586666	0.7880350047	0.1904843278	-0.587828385	0.5719547108	0.7964700454	0.7316197709	0.7103984561	-1.252610718	0.2942916009	-1.06937196	-0.4111053053	-1.119163676	0.5627789025	-1.556379763	1.009169837	-1.059077379	0.5406314682	-0.6811266085	-1.017907842	-0.6018297009	-0.578941986	0.4782432334	0.730189103	-0.08912831503	-1.016107524	-0.611511925	-0.6336062664	0.8853767391	-1.488134091
10078.04102335736	2.5296360313732293	6.399058451221702	101566910.86847389	7077.607951419454	-16.02782056924843	256.8910322000232	50092534.31399588	8292.350448773115	-0.058550743873638574	68763075.96526769	0.003428189608156424	8201.258762090112	11533.388548334973	0.941879	24.411779	0.287449573	0.15503599999999998	-0.034790242400000004	0.023596251000000002	-0.0480044289	0.0334329223	0.03533168	0.0495871515	-0.016998086000000003	0.0473304079	0.015069516000000003	-0.0273866846	0.027790612200000002	-0.0153343098	-0.0018532641000000001	0.0476734338	-0.0536539468	-0.040886455099999996	0.0098116484	-0.0059368705	0.0150588951	-0.027297562999999997	0.028377048199999998	-0.0124048689	-0.06825499110000001	0.0058244757	-0.0195602035	-0.0335750594	-0.0113586347	0.0106572874	-0.0163299893	0.0643168315	0.0640206412	0.0635280008	0.0628404219	0.0619600143	0.0608894797	0.000228873	0.016786172999999998	5.238285012899999e-08	0.00028177560398592893	0.16065	0.0975245	0.009511028100249995	0.0258084225	-0.0368905	0.062121	0.00136090899025	0.003859018641	-0.000257378	-0.001690048	6.6243434884e-08	2.8562622423040002e-06	-0.00299684	-0.0004144600000000002	1.7177709160000016e-07	8.9810499856e-06	0.00152659	-0.00011585000000000002	1.3421222500000006e-08	2.3304770281e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7718798805	-0.9500187762	0.350894229	0.764629387	0.5637831688	0.6413668554	0.2999192151	0.8798748827	1.052166806	0.2203459826	-0.2521646524	0.5399244016	0.6687837061	0.6630372168	0.9979875491	-0.2387690386	-0.03893411739	-0.6882055686	-0.2270227066	-1.344586049	0.6560891032	-1.238777493	1.533995887	-0.8928820212	-0.556620303	-0.4986549781	-1.516525905	-0.2341406014	-0.4946020827	-0.02414724843	-0.2306506698	-0.2306699957	-0.6573515043	1.040064351	-0.5028446378	1.134594534	-0.5378308622
10077.97901565152	-0.06200770584109705	0.0038449555836760213	101565661.03991236	7103.373701355267	25.76574993581289	663.8738697548422	50457917.94110563	8302.149935047573	9.799486274458102	68925693.54401043	96.0299312432928	8211.888626149279	11488.447671842849	0.878116	22.759151	0.14869062299999994	0.08138109999999997	-0.0322077567	0.0175324629	-0.0433189546	0.0303731827	0.0137762752	0.0660681666	-0.0673096895	0.050702129699999994	0.0148391705	-0.021413912099999998	0.029120223599999998	0.028549509	0.0161767911	0.033214702	-0.029929985200000002	-0.040638321899999996	0.0167316004	-0.007986535999999999	0.0407612533	-0.0213695215	0.0292868321	0.0349878167	-0.0476878825	-0.008799128	-0.0113482207	-0.037072050499999995	-0.0182386125	0.0033569536	-0.044361215499999995	0.064292217	0.06392235339999999	0.06330748929999999	0.0624499814	0.061353116299999996	0.06002109820000001	-0.00355175	-0.003780623	1.2614928062499996e-05	1.4293110268129e-05	0.12615	-0.034499999999999975	0.0011902499999999984	0.015913822500000004	-0.0796862	-0.0427957	0.00634989047044	0.00183147193849	0.000680438	0.0009378160000000001	4.6299587184399994e-07	8.794988498559997e-07	-0.00258237	0.00041447000000000017	1.717853809000001e-07	6.668634816900001e-06	0.00152659	0.0	0.0	2.3304770281e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8446798549	-0.9820985241	0.2838415033	0.6976238574	0.6351925249	0.6840904086	0.255969233	0.8071557054	0.9091506098	0.2069349297	-0.3812890453	0.4918777032	0.6381472333	0.5566273661	1.0601785	-0.1402820864	0.1298759515	-0.6611282018	-0.1074896536	-1.344095212	0.637060758	0.4139490045	1.649263252	-0.8628646236	-0.9033879264	-0.2244838811	-1.035684652	-0.2254870902	-0.5453452403	0.1856969375	-0.05744102844	0.1042603507	-1.193881061	-0.007540754653	0.2266641636	1.037366885	1.265662379
